[|1]: Project-Id-Version: MIUI Watch\nLast-Translator: Automatically generated\nLanguage-Team: none\nLanguage: zh_CN\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\n
[%.*fcnt/min.sport|2]: %.*f次/分|%.*f次/分
[C126_cityname.worldclock|1]: 平壤
[C126_timezone.worldclock|1]: 540
[C128_cityname.worldclock|1]: 仰光
[C128_timezone.worldclock|1]: 360
[C129_cityname.worldclock|1]: 利雅得
[C129_timezone.worldclock|1]: 180
[C130_cityname.worldclock|1]: 首尔
[C130_timezone.worldclock|1]: 540
[C132_cityname.worldclock|1]: 新加坡
[C132_timezone.worldclock|1]: 480
[C134_cityname.worldclock|1]: 德黑兰
[C134_timezone.worldclock|1]: 180
[C136_cityname.worldclock|1]: 东京
[C136_timezone.worldclock|1]: 540
[C143_cityname.worldclock|1]: 阿德莱德
[C143_timezone.worldclock|1]: 540
[C144_cityname.worldclock|1]: 布里斯班
[C144_timezone.worldclock|1]: 600
[C146_cityname.worldclock|1]: 达尔文
[C146_timezone.worldclock|1]: 540
[C149_cityname.worldclock|1]: 珀斯
[C149_timezone.worldclock|1]: 480
[C151_cityname.worldclock|1]: 悉尼
[C151_timezone.worldclock|1]: 600
[C156_cityname.worldclock|1]: 阿姆斯特丹
[C156_timezone.worldclock|1]: 60
[C15_cityname.worldclock|1]: 哈拉雷
[C15_timezone.worldclock|1]: 120
[C161_cityname.worldclock|1]: 柏林
[C161_timezone.worldclock|1]: 60
[C163_cityname.worldclock|1]: 布鲁塞尔
[C163_timezone.worldclock|1]: 60
[C164_cityname.worldclock|1]: 布加勒斯特
[C164_timezone.worldclock|1]: 120
[C165_cityname.worldclock|1]: 布达佩斯
[C165_timezone.worldclock|1]: 60
[C167_cityname.worldclock|1]: 哥本哈根
[C167_timezone.worldclock|1]: 60
[C168_cityname.worldclock|1]: 都柏林
[C168_timezone.worldclock|1]: 0
[C170_cityname.worldclock|1]: 赫尔辛基
[C170_timezone.worldclock|1]: 120
[C172_cityname.worldclock|1]: 伊斯坦布尔
[C172_timezone.worldclock|1]: 180
[C173_cityname.worldclock|1]: 里斯本
[C173_timezone.worldclock|1]: 0
[C174_cityname.worldclock|1]: 伦敦
[C174_timezone.worldclock|1]: 0
[C176_cityname.worldclock|1]: 马德里
[C176_timezone.worldclock|1]: 60
[C178_cityname.worldclock|1]: 明斯克
[C178_timezone.worldclock|1]: 180
[C180_cityname.worldclock|1]: 莫斯科
[C180_timezone.worldclock|1]: 180
[C181_cityname.worldclock|1]: 奥斯陆
[C181_timezone.worldclock|1]: 60
[C182_cityname.worldclock|1]: 巴黎
[C182_timezone.worldclock|1]: 60
[C183_cityname.worldclock|1]: 布拉格
[C183_timezone.worldclock|1]: 60
[C185_cityname.worldclock|1]: 罗马
[C185_timezone.worldclock|1]: 60
[C191_cityname.worldclock|1]: 斯德哥尔摩
[C191_timezone.worldclock|1]: 60
[C192_cityname.worldclock|1]: 塔林
[C192_timezone.worldclock|1]: 120
[C194_cityname.worldclock|1]: 维也纳
[C194_timezone.worldclock|1]: 60
[C196_cityname.worldclock|1]: 维尔纽斯
[C196_timezone.worldclock|1]: 120
[C197_cityname.worldclock|1]: 华沙
[C197_timezone.worldclock|1]: 60
[C202_cityname.worldclock|1]: 奥克兰
[C202_timezone.worldclock|1]: 720
[C205_cityname.worldclock|1]: 檀香山
[C205_timezone.worldclock|1]: -600
[C206_cityname.worldclock|1]: 圣诞岛
[C206_timezone.worldclock|1]: 0
[C21_cityname.worldclock|1]: 拉各斯
[C21_timezone.worldclock|1]: 60
[C224_cityname.worldclock|1]: 旧金山
[C224_timezone.worldclock|1]: -480
[C227_cityname.worldclock|1]: 圣萨尔瓦多
[C227_timezone.worldclock|1]: -360
[C230_cityname.worldclock|1]: 华盛顿
[C230_timezone.worldclock|1]: -300
[C242_cityname.worldclock|1]: 亚特兰大
[C242_timezone.worldclock|1]: -300
[C252_cityname.worldclock|1]: 北京
[C252_timezone.worldclock|1]: 480
[C253_cityname.worldclock|1]: 孟买
[C253_timezone.worldclock|1]: 300
[C261_cityname.worldclock|1]: 法兰克福
[C261_timezone.worldclock|1]: 60
[C262_cityname.worldclock|1]: 河内
[C262_timezone.worldclock|1]: 420
[C263_cityname.worldclock|1]: 安卡拉
[C263_timezone.worldclock|1]: 180
[C265_cityname.worldclock|1]: 巴西利亚
[C265_timezone.worldclock|1]: -180
[C266_cityname.worldclock|1]: 开普敦
[C266_timezone.worldclock|1]: 120
[C267_cityname.worldclock|1]: 伊斯兰堡
[C267_timezone.worldclock|1]: 300
[C268_cityname.worldclock|1]: 里约热内卢
[C268_timezone.worldclock|1]: -180
[C278_cityname.worldclock|1]: 圣地亚哥
[C278_timezone.worldclock|1]: -240
[C284_cityname.worldclock|1]: 基辅
[C284_timezone.worldclock|1]: 120
[C285_cityname.worldclock|1]: 圣彼得堡
[C285_timezone.worldclock|1]: 180
[C291_cityname.worldclock|1]: 圣胡安
[C291_timezone.worldclock|1]: -240
[C292_cityname.worldclock|1]: 特古西加尔巴
[C292_timezone.worldclock|1]: -360
[C295_cityname.worldclock|1]: 夏威夷
[C295_timezone.worldclock|1]: -600
[C296_cityname.worldclock|1]: 阿拉斯加
[C296_timezone.worldclock|1]: -540
[C297_cityname.worldclock|1]: 凤凰城
[C297_timezone.worldclock|1]: -420
[C299_cityname.worldclock|1]: 金斯顿
[C299_timezone.worldclock|1]: -300
[C300_cityname.worldclock|1]: 普拉亚
[C300_timezone.worldclock|1]: -60
[C301_cityname.worldclock|1]: 雷克雅未克
[C301_timezone.worldclock|1]: 0
[C302_cityname.worldclock|1]: 日内瓦
[C302_timezone.worldclock|1]: 60
[C303_cityname.worldclock|1]: 温得和克
[C303_timezone.worldclock|1]: 120
[C304_cityname.worldclock|1]: 索菲亚
[C304_timezone.worldclock|1]: 120
[C305_cityname.worldclock|1]: 雅典
[C305_timezone.worldclock|1]: 120
[C306_cityname.worldclock|1]: 加里宁格勒
[C306_timezone.worldclock|1]: 120
[C307_cityname.worldclock|1]: 喀土穆
[C307_timezone.worldclock|1]: 120
[C308_cityname.worldclock|1]: 内罗毕
[C308_timezone.worldclock|1]: 180
[C309_cityname.worldclock|1]: 亚丁
[C309_timezone.worldclock|1]: 180
[C310_cityname.worldclock|1]: 安塔那那利佛
[C310_timezone.worldclock|1]: 180
[C311_cityname.worldclock|1]: 科威特
[C311_timezone.worldclock|1]: 180
[C312_cityname.worldclock|1]: 阿布扎比
[C312_timezone.worldclock|1]: 240
[C313_cityname.worldclock|1]: 萨马拉
[C313_timezone.worldclock|1]: 240
[C314_cityname.worldclock|1]: 新德里
[C314_timezone.worldclock|1]: 300
[C315_cityname.worldclock|1]: 新西伯利亚
[C315_timezone.worldclock|1]: 420
[C316_cityname.worldclock|1]: 台湾
[C316_timezone.worldclock|1]: 480
[C317_cityname.worldclock|1]: 伊尔库茨克
[C317_timezone.worldclock|1]: 480
[C318_cityname.worldclock|1]: 赤塔
[C318_timezone.worldclock|1]: 540
[C319_cityname.worldclock|1]: 符拉迪沃斯托克
[C319_timezone.worldclock|1]: 600
[C321_cityname.worldclock|1]: 马加丹
[C321_timezone.worldclock|1]: 660
[C322_cityname.worldclock|1]: 堪察加
[C322_timezone.worldclock|1]: 720
[C323_cityname.worldclock|1]: 苏瓦
[C323_timezone.worldclock|1]: 720
[C325_cityname.worldclock|1]: 惠灵顿
[C325_timezone.worldclock|1]: 720
[C32_cityname.worldclock|1]: 亚松森
[C32_timezone.worldclock|1]: -240
[C36_cityname.worldclock|1]: 布宜诺斯艾利斯
[C36_timezone.worldclock|1]: -180
[C38_cityname.worldclock|1]: 加拉加斯
[C38_timezone.worldclock|1]: -240
[C3_cityname.worldclock|1]: 亚的斯亚贝巴
[C3_timezone.worldclock|1]: 180
[C40_cityname.worldclock|1]: 芝加哥
[C40_timezone.worldclock|1]: -360
[C47_cityname.worldclock|1]: 埃德蒙顿
[C47_timezone.worldclock|1]: -420
[C4_cityname.worldclock|1]: 阿尔及尔
[C4_timezone.worldclock|1]: 60
[C52_cityname.worldclock|1]: 危地马拉
[C52_timezone.worldclock|1]: -360
[C55_cityname.worldclock|1]: 哈瓦那
[C55_timezone.worldclock|1]: -300
[C65_cityname.worldclock|1]: 拉巴斯
[C65_timezone.worldclock|1]: -240
[C66_cityname.worldclock|1]: 利马
[C66_timezone.worldclock|1]: -300
[C67_cityname.worldclock|1]: 洛杉矶
[C67_timezone.worldclock|1]: -480
[C69_cityname.worldclock|1]: 马那瓜
[C69_timezone.worldclock|1]: -360
[C72_cityname.worldclock|1]: 墨西哥城
[C72_timezone.worldclock|1]: -360
[C73_cityname.worldclock|1]: 蒙特雷
[C73_timezone.worldclock|1]: -360
[C74_cityname.worldclock|1]: 蒙得维的亚
[C74_timezone.worldclock|1]: -180
[C76_cityname.worldclock|1]: 拿骚
[C76_timezone.worldclock|1]: -300
[C77_cityname.worldclock|1]: 纽约
[C77_timezone.worldclock|1]: -300
[C7_cityname.worldclock|1]: 开罗
[C7_timezone.worldclock|1]: 120
[C8_cityname.worldclock|1]: 卡萨布兰卡
[C8_timezone.worldclock|1]: 0
[C93_cityname.worldclock|1]: 多伦多
[C93_timezone.worldclock|1]: -300
[C94_cityname.worldclock|1]: 温哥华
[C94_timezone.worldclock|1]: -480
[C95_cityname.worldclock|1]: 温尼伯
[C95_timezone.worldclock|1]: -360
[C98_cityname.worldclock|1]: 阿拉木图
[C98_timezone.worldclock|1]: 360
[C99_cityname.worldclock|1]: 安曼
[C99_timezone.worldclock|1]: 120
[Dec.common|1]: 十二月
[Dec_n.common|1]: 12月
[Feb.common|1]: 二月
[Feb_n.common|1]: 2月
[Fri.calendar|1]: 周五
[Fri.worldclock|1]: 周五
[Fri_brief.calendar|1]: 五
[Fri_brief.common|1]: 五
[Jan.common|1]: 一月
[Jan_n.common|1]: 1月
[July.common|1]: 七月
[July_n.common|1]: 7月
[June.common|1]: 六月
[June_n.common|1]: 6月
[Mar.common|1]: 三月
[Mar_n.common|1]: 3月
[May.common|1]: 五月
[May_n.common|1]: 5月
[Mon.calendar|1]: 周一
[Mon.worldclock|1]: 周一
[Mon_brief.calendar|1]: 一
[Mon_brief.common|1]: 一
[Nov.common|1]: 十一月
[Nov_n.common|1]: 11月
[Oct.common|1]: 十月
[Oct_n.common|1]: 10月
[Sat.calendar|1]: 周六
[Sat.worldclock|1]: 周六
[Sat_brief.calendar|1]: 六
[Sat_brief.common|1]: 六
[Sept.common|1]: 九月
[Sept_n.common|1]: 9月
[Sports.sport|1]: 运动
[Sun.calendar|1]: 周日
[Sun.worldclock|1]: 周日
[Sun_brief.calendar|1]: 日
[Sun_brief.common|1]: 日
[Thu.calendar|1]: 周四
[Thu.worldclock|1]: 周四
[Thu_brief.calendar|1]: 四
[Thu_brief.common|1]: 四
[Tue.calendar|1]: 周二
[Tue.worldclock|1]: 周二
[Tue_brief.calendar|1]: 二
[Tue_brief.common|1]: 二
[UVI|1]: 紫外线强度
[Wed.calendar|1]: 周三
[Wed.worldclock|1]: 周三
[Wed_brief.calendar|1]: 三
[Wed_brief.common|1]: 三
[ability_down.training|1]: 下降
[ability_dsc.training|1]: 运动能力
[ability_keep.training|1]: 无变化
[ability_up.training|1]: 提升
[abort_rel.health|1]: 发布版本
[abort_whole.health|1]: 完整版本
[about.common|1]: 关于
[about.settings|1]: 关于
[about.setupwizard|1]: 关于
[about_title.settings|1]: 关于
[accel_test.check_tool|1]: 加速度检测(3/14)
[accomplish.sport|1]: 完成
[action_preview.sport|1]: 动作预览
[activated.nfc|1]: 已激活
[active.nfc|1]: 启用中...
[active_fail.nfc|1]: 启用失败，请重试
[activities.act|1]: 活动一下
[activity.sport|1]: 活动
[activity.watchface|1]: 活动统计
[activityIndex|1]: 活力指标
[add_cities.weather|1]: 请打开App\n的天气设置添加城市
[add_city.worldclock|1]: 添加城市
[add_driver.setupwizard|1]: 请打开小米运动健康App，添加设备:
[add_fail.nfc|1]: 添加失败
[add_full.nfc|1]: 卡片已达上限
[add_warning%d.home|2]: 无法添加新组件，最多%d页小组件|无法添加新组件，最多%d页小组件
[add_widget.home|1]: 新增组件
[advanced_aerobic_endurance_running.sport|1]: 进阶有氧耐力跑
[advanced_aerobic_endurance_running_dsc.sport|1]: 单次长时间的慢跑训练，改善有氧耐力水平，提升长跑能力。
[advanced_fat_burning_run.sport|1]: 进阶燃脂跑
[advanced_fat_burning_run_dsc.sport|1]: 单次长时间的中低强度训练，持续慢跑，\n持续减脂减重。
[advanced_interval_running.sport|1]: 进阶间歇跑
[advanced_interval_running_dsc.sport|1]: 适合希望改善心肺能力的跑者，高强度的刺激心肺，提升最大摄氧量水平。
[advanced_run_walk.sport|1]: 进阶跑走结合
[advanced_run_walk_dsc.sport|1]: 适合初级入门跑者，\n慢跑和快走交替循\n环，适当增加慢跑时\n长，改善体能表现。
[aerobic.common|1]: 有氧
[aerobic.sport|1]: 有氧
[aerobic_interval.sport|1]: 有氧区间
[aerobic_training_effect.sport|1]: 有氧训练效果
[aerobic_zone.hr|1]: 无氧区间：
[aerobic_zone1.hr|1]: 最大心率 x（ 81% - 90% ），适用于提升训练强度或速度，可以训练耐乳酸能力与最大摄氧量。
[aerobics.sport|1]: 健身操
[again.find_phone|1]: 再次查找
[again_select.bp|1]: 重新选择尺码
[again_upgrade.setupwizard|1]: 请在手机上App上\n重新发起升级
[agree.wxpay|1]: 同意
[ai_escort.sport|1]: 智能陪跑
[air_quality.weather|1]: 空气质量
[aivs.appname|1]: 小爱同学
[alarm|1]: 闹钟
[alarm.appname|1]: 闹钟
[alarm_deleted.alexa|1]: Alarm deleted
[alarm_title.alexa|1]: The following alarms have been set for you:
[alert_tip.weather|1]: 预警通知
[alexa.appname|1]: Alexa
[alipayPaymentCode|1]: 支付宝付款码
[allbreath%d.breath|2]: 呼吸%d次|呼吸%d次
[allday.calendar|1]: 全天
[allday_m36.calendar|1]: 全天
[always_bright_close.ctrl|1]: 持续亮屏关闭
[always_bright_open.ctrl|1]: 持续亮屏5分钟
[alwayson_info.settings|1]: 开启后，仅本次亮屏时间持续%d分\n钟。亮屏时间过\n长，会减少续航时\n间。确定使用？
[am.common|1]: 上午
[am_t.alarm|1]: AM
[am_t.calendar|1]: AM
[am_t.todo|1]: AM
[anaerobic.common|1]: 无氧
[anaerobic.sport|1]: 无氧
[anaerobic_interval.sport|1]: 无氧区间
[anaerobic_zone.hr|1]: 有氧区间：
[anaerobic_zone1.hr|1]: 最大心率 x（ 71% - 80% ），适用于中强度训练，有助于提高训练效率、改善人体心肺功能以及增强体能。
[anim_cxkhz.sport|1]: 侧向开合走
[anim_dtncdtls.sport|1]: 大腿内侧动态拉伸
[anim_fbls.sport|1]: 腹部拉伸
[anim_fsdthcls.sport|1]: 俯身大腿后侧拉伸
[anim_fsycdthcls.sport|1]: 俯身右侧大腿后侧拉伸
[anim_fsythcls.sport|1]: 俯身右腿后侧拉伸
[anim_fszcdthcls.sport|1]: 俯身左侧大腿后侧拉伸
[anim_fszthcls.sport|1]: 俯身左腿后侧拉伸
[anim_gbczt.sport|1]: 弓步侧转体
[anim_gtt.sport|1]: 勾腿跳
[anim_gttp.sport|1]: 高抬腿跑
[anim_gzbbls.sport|1]: 跪姿背部拉伸
[anim_jtcgb.sport|1]: 交替侧弓步
[anim_jttxwz.sport|1]: 交替提膝外展
[anim_kht.sport|1]: 开合跳
[anim_kqycxbqcls.sport|1]: 靠墙右侧小臂前侧拉伸
[anim_kqycxtls.sport|1]: 靠墙右侧小腿拉伸
[anim_kqyxthcls.sport|1]: 靠墙右小腿后侧拉伸
[anim_kqzcxbqcls.sport|1]: 靠墙左侧小臂前侧拉伸
[anim_kqzcxtls.sport|1]: 靠墙左侧小腿拉伸
[anim_kqzxthcls.sport|1]: 靠墙左小腿后侧拉伸
[anim_pbzcjtts.sport|1]: 平板支撑交替抬手
[anim_pbzcjttt.sport|1]: 平板支撑交替抬腿
[anim_qbxhjgjhr.sport|1]: 屈臂向后肩关节环绕
[anim_qbxqjgjhr.sport|1]: 屈臂向前肩关节环绕
[anim_qhjcxt.sport|1]: 前后交叉小跳
[anim_qssz.sport|1]: 全身舒展
[anim_qxyxthcls.sport|1]: 屈膝右小腿后侧拉伸
[anim_qxzxthcls.sport|1]: 屈膝左小腿后侧拉伸
[anim_sbbls.sport|1]: 上背部拉伸
[anim_tbdtls.sport|1]: 臀部动态拉伸
[anim_tbgttjz.sport|1]: 踏步高抬腿击掌
[anim_xbbls.sport|1]: 下背部拉伸
[anim_xgjrs.sport|1]: 膝关节热身
[anim_ybhcls.sport|1]: 右臂后侧拉伸
[anim_ybls.sport|1]: 腰部拉伸
[anim_ycdtqcls.sport|1]: 右侧大腿前侧拉伸
[anim_ychgjhr.sport|1]: 右侧踝关节环绕
[anim_ycqyjls.sport|1]: 右侧髂腰肌拉伸
[anim_ycxbls.sport|1]: 右侧胸部拉伸
[anim_ydbbkp.sport|1]: 原地摆臂快跑
[anim_ydmp.sport|1]: 原地慢跑
[anim_zastqq.sport|1]: 早安式体前屈
[anim_zbhcls.sport|1]: 左臂后侧拉伸
[anim_zcdtqcls.sport|1]: 左侧大腿前侧拉伸
[anim_zchgjhr.sport|1]: 左侧踝关节环绕
[anim_zcqyjls.sport|1]: 左侧髂腰肌拉伸
[anim_zcxbls.sport|1]: 左侧胸部拉伸
[anim_zcxthcls.sport|1]: 支撑小腿后侧拉伸
[anim_zwgasjbls.sport|1]: 自我关爱式肩部拉伸
[anim_zybtxt.sport|1]: 左右并腿小跳
[anim_zzjtgt.sport|1]: 站姿交替勾腿
[anim_zzycfbls.sport|1]: 站姿右侧腹部拉伸
[anim_zzyctbls.sport|1]: 站姿右侧臀部拉伸
[anim_zzzcfbls.sport|1]: 站姿左侧腹部拉伸
[anim_zzzctbls.sport|1]: 站姿左侧臀部拉伸
[app_conn.aivs|1]: 请通过蓝牙连接\n手机
[app_join.mihome|1]: 请打开手机App连接设备
[app_name.nfc|1]: 卡包
[app_operate.nfc|1]: 请到APP操作
[appname.act|1]: 活力指标
[appname.media|1]: 音乐
[appname.status|1]: 训练状态
[appname.vitality|1]: 元气值
[aqi.weather|1]: AQI
[aquatic_sport.sport|1]: 水上运动
[archery.sport|1]: 射箭
[attention.breath|1]: 请集中注意力
[atv.sport|1]: 沙滩车
[auth_error_content.alexa|1]: Looks like you haven't used your account for a while. Reset Alexa in the app to use it again.
[auth_error_title.alexa|1]: Reset Alexa
[auto.settings|1]: 自动亮度
[auto_pause.sport|1]: 自动暂停
[ave.pressure|1]: 平均压力
[ave_heartrate.sleep|1]: 平均心率
[ave_oxygen.sleep|1]: 平均血氧
[average.sport|1]: 平均
[average_stride_length_cm.sport|1]: 平均步幅(厘米)
[avg_stroke.sport|1]: 平均划频(次/分)
[avg_swolf.sport|1]: 平均SWOLF
[avg_time.sleep|1]: 平均时长
[back.common|1]: 返回
[back_training.sport|1]: 背部训练
[backstroke.sport|1]: 仰泳
[badminton.sport|1]: 羽毛球
[balance.nfc|1]: 余额:
[ball_sports.sport|1]: 球类运动
[ballet.sport|1]: 芭蕾舞
[barbell_training.sport|1]: 杠铃训练
[base.watchface|1]: 基础
[baseball.sport|1]: 棒球
[basic_aerobic_endurance_running.sport|1]: 基础有氧耐力跑
[basic_aerobic_endurance_running_dsc.sport|1]: 适合希望提升跑步耐力的跑者，改善跑步耐力水平，提升有氧运动能力。
[basic_fat_burning_run.sport|1]: 基础燃脂跑
[basic_fat_burning_run_dsc.sport|1]: 适合希望燃脂减重的跑者，增加能量消\n耗，促进减脂减重。
[basic_interval_running.sport|1]: 基础间歇跑
[basic_interval_running_dsc.sport|1]: 适合希望改善心肺能力的跑者，改善心肺能力，改善最大摄氧量水平。
[basic_jogging.sport|1]: 基础慢跑
[basic_jogging_dsc.sport|1]: 中低强度的跑步训\n练，适合初级入门跑者，渐进改善自身体能表现。
[basic_run_walk.sport|1]: 基础跑走结合
[basic_run_walk_dsc.sport|1]: 适合初级入门跑者，\n慢跑和快走交替循\n环，有助于身体适应\n跑步等有氧类活动。
[basketball.sport|1]: 篮球
[battery.appname|1]: 电量
[battery.settings|1]: 电池
[batteryLevel|1]: 电量
[battery_cqr.setupwizard|1]: 电量：
[battery_title.settings|1]: 电池
[battle_rope.sport|1]: 战绳
[beach_football.sport|1]: 沙滩足球
[beach_volleyball.sport|1]: 沙滩排球
[beat.hr|1]: 异常心搏
[beatexp.hr|1]: 异常心搏说明
[beatexp1.hr|1]: 仅展示最近三次记录，更多请在APP查看，本设备非医疗器械，结果仅供参考。
[beatexp2.hr|1]: 设备在非活跃状态持\n续监测脉搏节律，评\n估心脏健康，若产生异常心搏记录，请留意健康状况，但若感觉不适请及时向医疗机构咨询。
[before.breath|1]: 训练前心率
[bell.find_phone|1]: 查找后手机会响铃
[belly_dance.sport|1]: 肚皮舞
[best.sport|1]: 最佳
[billiards.sport|1]: 台球
[bind.alipay|1]: 绑定后可刷手环上的付款码进行支付
[bind_failed.setupwizard|1]: 配对失败
[bind_success.setupwizard|1]: 配对成功
[bl_disconnected.sport|1]: 蓝牙连接已断开，\nApp运动数据无法同步至设备，请检查连接。
[bl_lunar.calendar|1]: 白露
[ble_con.share|1]: 请连接蓝牙再试试吧
[ble_dis.share|1]: 蓝牙未连接
[bloodPressure|1]: 血压
